india,officially,republic,hindi,bhārat,gaṇarājya25,country,south,asia,seventhlargest,area,secondmost,populous,democracy,world,bounded,indian,ocean,arabian,sea,southwest,bay,bengal,southeast,shares,land,borders,pakistan,westf,china,nepal,bhutan,north,bangladesh,myanmar,east,vicinity,sri,lanka,maldives,andaman,nicobar,islands,share,maritime,border,thailand,indonesia,nations,capital,city,new,delhi
3,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
